Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2016","2016","tonnes","123847.56","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2017","2017","tonnes","102995.1","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2018","2018","tonnes","132438.48","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2019","2019","tonnes","151251.59","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2020","2020","tonnes","224546.68","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","01610","Coffee, green","2021","2021","tonnes","175590.57","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","380","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","362","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","567","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","471.62","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","750.89","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","745.54","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","596.88","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","496.29","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","522.89","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","532.46","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23912.02","Coffee extracts","2021","2021","tonnes","640.81","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2020","2020","tonnes","0.02","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2011","2011","tonnes","1004","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2012","2012","tonnes","950","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2013","2013","tonnes","1922","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2014","2014","tonnes","3024","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2015","2015","tonnes","2556.6","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2016","2016","tonnes","3608.4","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2017","2017","tonnes","3749.1","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2018","2018","tonnes","3802.47","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2019","2019","tonnes","3393.79","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2020","2020","tonnes","494.58","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2021","2021","tonnes","416.74","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","1118","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","522","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","554","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","0.08","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","75.89","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","13.68","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","13.06","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","28.66","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","191","Croatia","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","15.85","A","Official figure"
