Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Modified Countries,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1.95,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,17.48,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,28.05,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.01,Coffee substitutes,2019,2019,tonnes,0.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.01,Coffee substitutes,2020,2020,tonnes,0.06,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23912.01,Coffee substitutes,2021,2021,tonnes,0.07,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,0.32,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,0.99,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.57,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,0.9,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,2047.2,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,1827.38,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,1505.31,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,196,Cyprus,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,932.44,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,23.19,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,1.96,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,0.92,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.17,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,2.77,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,117.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,124.59,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,134.52,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,203,Czechia,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,58.24,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,0.08,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,6.78,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,0.77,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,0.31,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.01,Coffee substitutes,2019,2019,tonnes,0,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23912.01,Coffee substitutes,2020,2020,tonnes,0,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,1.06,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,1.75,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,0.75,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,0.72,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,3088.75,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,3959.56,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,4146.18,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,208,Denmark,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,4467.82,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,369.3,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,126.53,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,81.78,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,18.07,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,274.19,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,172.68,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,471.18,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,233,Estonia,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,19.2,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,206.16,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1013.98,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,1133.82,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,1320.8,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,29372.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,33352.94,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,27075.33,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,246,Finland,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,23274.9,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,102.69,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,157.92,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,120.3,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,175.88,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.01,Coffee substitutes,2018,2018,tonnes,2.99,A,Official figure,,
