Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","305","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","200.29","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","168.88","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","129.07","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","462.4","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","136.5","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","350.2","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","1173.84","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2021","2021","tonnes","913.11","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2016","2016","tonnes","0.24","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2011","2011","tonnes","28","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2012","2012","tonnes","42","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2013","2013","tonnes","38","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2014","2014","tonnes","21.53","A","Official figure"
